numero_processo,nome_juiz,sentimento_medio,sentimento_mediano,qtd_movimentos,genero_juiz
00146151520218060293,Domingos Sávio Santos de Oliveira Filho,1.576271186440678,1.0,59,Masculino
00151305020218060293,Maria Nayane de Paula Nonato,1.8307692307692307,1.0,65,Feminino
00152875520238060001,Roberto Nogueira Feijo,2.0,1.0,12,Masculino
00153054420218060293,Francisco Junior de Castro Silva,1.5925925925925926,1.0,54,Masculino
00159178220218060001,Alexandre Carneiro Maciel,1.972972972972973,1.0,74,Masculino
00178183720188060051,Luís Gustavo Montezuma Herbster,2.1333333333333333,1.0,75,Masculino
00191262520228060001,Leandro Gomes de Araujo,2.16,1.0,25,Masculino
00212717320198060158,Sérgio Wandenberg Bezerra da Silva,1.9305555555555556,1.0,72,Masculino
00237655220238060001,Roberto Nogueira Feijo,2.074074074074074,1.0,27,Masculino
00242866520218060001,Roberto Nogueira Feijo,1.8676470588235294,1.0,68,Masculino
00253478720238060001,Paulo André da Silva,1.9230769230769231,1.0,13,Masculino
00255308720258060001,,2.111111111111111,1.0,18,Indeterminado
00289414620228060001,,2.3,1.0,10,Indeterminado
00309357520238060001,Roberto Nogueira Feijo,1.7333333333333334,1.0,15,Masculino
00312942520238060001,Roberto Nogueira Feijo,2.0,1.0,14,Masculino
00332853620238060001,Roberto Nogueira Feijo,1.4285714285714286,1.0,14,Masculino
00339834720208060001,Raimundo Laurindo de Souza,2.0789473684210527,1.0,38,Masculino
00368986420238060001,Roberto Nogueira Feijo,2.142857142857143,1.0,14,Masculino
00371431220228060001,Wil,2.0714285714285716,1.0,14,Indeterminado
00372444920228060001,Fabr,2.0714285714285716,1.0,14,Indeterminado
00388845320238060001,Francisco das Chagas Gomes,1.9090909090909092,1.0,11,Masculino
00404974520228060001,Marina Barcellos Netto de Faria,1.9230769230769231,1.0,26,Feminino
00409437720248060001,Roberto Nogueira Feijo,1.5714285714285714,1.0,14,Masculino
00428600520228060001,,2.25,1.0,16,Indeterminado
00434868720238060001,Carlos Gaspar Nogueira Militao,2.0,1.0,54,Masculino
00442241220228060001,Andre Luiz Porto Guimaraes Ferreira,1.9846153846153847,1.0,65,Masculino
00442908920228060001,Roberto Nogueira Feijo,1.7941176470588236,1.0,34,Masculino
